date,trial,rep,morphology,controller,F_roll_2p5m,B_roll_2p5m,F_rollrate_2p5m,B_rollrate_2p5m,F_roll_initial,B_roll_initial,F_rollrate_initial,B_rollrate_initial,F_pitch_2p5m,B_pitch_2p5m,F_pitchrate_2p5m,B_pitchrate_2p5m,F_pitch_initial,B_pitch_initial,F_pitchrate_initial,B_pitchrate_initial
Apr20,r45,1,spine+tail,RL,-23.85,-25.46,-0.72,71.25,42.74,43.49,-41.27,305.83,-15.14,-29.3,-151.54,-337.78,-3.35,-2.79,23.83,-283.8
Apr20,r90,1,spine+tail,RL,-33.3,-35.98,-91.58,72.52,99.74,102.01,-10.99,-164.14,-29.79,-16.01,51.37,-176.61,1.17,1.66,33.08,71.86
Apr20,r180,1,spine+tail,RL,30.28,30.3,-40.78,-5.49,176.03,175.26,-64.98,-141.52,-11.49,-20.91,46.37,-299.64,1.43,0.66,-18.7,-18.63
Apr22,r180_p-15,1,spine+tail,RL,58.16,38.08,-39.21,-79.06,174.14,174.12,-70.35,45.37,-42.39,4.41,-44.39,-5.97,-14.81,-15.58,1.87,-75.23
Apr22,r180_p15,1,spine+tail,RL,-15.09,-22.1,19.82,-191.7,176.47,178.03,-92.1,176.81,-0.75,59.93,-409.1,348.47,16.18,14.63,-19.92,171.25
Apr20,r45,2,spine+tail,RL,-0.34,-5.34,21.49,-31.33,34.76,36.31,26.83,-87.78,22.77,-40.74,-58.66,-368.1,-0.67,0.57,-40.21,-386.46
Apr20,r90,2,spine+tail,RL,-32.48,-40.33,128.37,-277.39,86.79,89.09,-25.55,167.1,-1.05,-10.98,-273.24,266.76,0.93,0.91,8.31,8.19
Apr20,r180,2,spine+tail,RL,16.03,-5.0,271.16,50.51,-175.32,-176.87,-66.86,10.09,2.14,-9.74,-317.11,-235.58,2.08,0.53,5.23,-148.88
Apr22,r180_p-15,2,spine+tail,RL,70.42,66.54,53.17,-185.23,177.34,177.32,-48.39,-48.29,-18.31,-13.86,202.06,87.0,-12.5,-14.04,-8.28,-123.72
Apr22,r180_p15,2,spine+tail,RL,67.44,66.02,-3.47,-42.37,172.72,174.27,-64.26,205.38,-6.88,7.3,18.24,-96.54,17.03,17.03,-1.49,191.73
Apr20,r45,3,spine+tail,RL,-4.46,2.22,16.86,-94.09,31.11,32.64,30.4,278.24,4.26,-25.24,92.52,-185.64,-3.18,-2.53,22.42,-153.91
Apr20,r90,3,spine+tail,RL,1.85,9.13,-69.48,-50.61,85.47,87.01,24.8,139.96,18.9,-26.63,-124.88,36.06,-0.88,-0.88,-5.68,-4.53
Apr20,r180,3,spine+tail,RL,16.87,14.67,56.79,-102.16,179.7,178.92,-46.31,299.96,7.32,-11.79,-74.59,-76.83,-0.88,-1.66,-16.11,-209.56
Apr22,r180_p-15,3,spine+tail,RL,58.42,74.22,-19.93,-54.6,176.42,177.22,-6.25,224.78,-8.7,-29.84,-156.28,143.29,-16.94,-14.61,-27.16,358.66
Apr22,r180_p15,3,spine+tail,RL,60.83,102.35,-136.94,-185.52,172.93,175.31,-60.63,16.69,3.26,27.48,-71.77,-15.13,18.8,16.48,-49.11,-11.03
Apr20,r45,4,spine+tail,RL,-6.4,41.51,-16.92,997.46,31.02,30.29,-55.37,-131.38,-27.63,-15.52,130.06,-264.31,1.1,-2.91,-6.45,70.16
Apr20,r90,4,spine+tail,RL,-21.88,-31.13,-21.18,-31.48,87.45,91.32,-72.63,428.23,-27.58,-5.99,84.49,-191.97,0.09,0.14,11.82,-262.85
Apr20,r180,4,spine+tail,RL,200.6,191.04,-264.11,-424.71,176.82,178.38,-65.99,281.01,-8.37,-37.13,-173.46,113.62,5.87,2.77,18.09,-252.15
Apr22,r180_p-15,4,spine+tail,RL,76.42,48.16,-65.82,14.39,174.37,170.49,8.84,124.56,-38.62,18.01,-40.31,-39.32,-17.82,-17.82,-48.45,-47.4
Apr22,r180_p15,4,spine+tail,RL,27.93,29.06,147.09,-45.37,168.96,170.76,-38.89,-38.33,-32.6,44.42,-131.34,-133.91,15.32,7.67,33.72,-313.34
Apr20,r45,5,spine+tail,RL,-29.11,-29.33,-35.75,-40.54,32.88,36.73,-70.48,6.92,1.0,-16.64,-112.12,-186.79,2.09,0.85,24.04,101.97
Apr20,r90,5,spine+tail,RL,-45.43,-32.76,330.48,-17.21,86.37,89.47,-106.09,-144.57,-26.2,-1.49,-49.71,-26.93,-0.29,-0.29,41.41,40.92
Apr20,r180,5,spine+tail,RL,355.61,366.07,0.0,578.09,177.6,176.83,-47.77,29.47,5.07,-15.09,-0.0,-0.0,2.54,1.0,-0.94,-0.94
Apr22,r180_p-15,5,spine+tail,RL,79.88,67.29,-20.24,44.3,173.51,175.81,-62.32,15.01,-30.01,-23.37,99.89,-170.44,-16.15,-17.69,-43.61,-45.1
Apr22,r180_p15,5,spine+tail,RL,50.85,55.17,-7.89,-11.41,170.48,171.33,-15.54,22.95,-21.96,27.46,-62.96,-63.8,14.27,11.97,-6.41,-160.66
Apr21,r45,1,spine+tail,MBC,-5.02,2.37,0.0,108.09,34.54,37.65,1.62,1.84,-17.35,-15.42,-0.0,-146.28,-1.14,-1.76,6.08,6.95
